No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,time 2,time 1,delay 1,delay 2,jiter
7,3.152804,192.168.100.6,172.217.194.136,TCP,66,54055  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1,,,,,,,,,,,,3.176279,3.152804,0.023475,8.3E-05,0.023392
8,3.176279,172.217.194.136,192.168.100.6,TCP,66,"443  >  54055 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM=1 WS=256",,,,,,,,,,,,3.176362,3.176279,8.3E-05,0.000521,0.000438
9,3.176362,192.168.100.6,172.217.194.136,TCP,54,54055  >  443 [ACK] Seq=1 Ack=1 Win=66364 Len=0,,,,,,,,,,,,3.176883,3.176362,0.000521,0.024159,0.023638
10,3.176883,192.168.100.6,172.217.194.136,TLSv1.3,571,Client Hello,,,,,,,,,,,,3.201042,3.176883,0.024159,0.000703,0.023456
11,3.201042,172.217.194.136,192.168.100.6,TCP,54,443  >  54055 [ACK] Seq=1 Ack=518 Win=66816 Len=0,,,,,,,,,,,,3.201745,3.201042,0.000703,4E-06,0.000699
12,3.201745,172.217.194.136,192.168.100.6,TLSv1.3,1466,"Server Hello, Change Cipher Spec",,,,,,,,,,,,3.201749,3.201745,4E-06,5.7E-05,5.3E-05
13,3.201749,172.217.194.136,192.168.100.6,TCP,1466,443  >  54055 [ACK] Seq=1413 Ack=518 Win=66816 Len=1412 [TCP segment of a reassembled PDU],,,,,,,,,,,,3.201806,3.201749,5.7E-05,0.000297,0.00024
14,3.201806,192.168.100.6,172.217.194.136,TCP,54,54055  >  443 [ACK] Seq=518 Ack=2825 Win=66364 Len=0,,,,,,,,,,,,3.202103,3.201806,0.000297,0.004196,0.003899
15,3.202103,172.217.194.136,192.168.100.6,TLSv1.3,1055,Application Data,,,,,,,,,,,,3.206299,3.202103,0.004196,0.000213,0.003983
16,3.206299,192.168.100.6,172.217.194.136,TLSv1.3,118,"Change Cipher Spec, Application Data",,,,,,,,,,,,3.206512,3.206299,0.000213,0.000638,0.000425
17,3.206512,192.168.100.6,172.217.194.136,TLSv1.3,140,Application Data,,,,,,,,,,,,3.20715,3.206512,0.000638,7E-05,0.000568
18,3.20715,192.168.100.6,172.217.194.136,TLSv1.3,1447,Application Data,,,,,,,,,,,,3.20722,3.20715,7E-05,0.024766,0.024696
19,3.20722,192.168.100.6,172.217.194.136,TLSv1.3,943,Application Data,,,,,,,,,,,,3.231986,3.20722,0.024766,0.000294,0.024472
20,3.231986,172.217.194.136,192.168.100.6,TLSv1.3,634,"Application Data, Application Data",,,,,,,,,,,,3.23228,3.231986,0.000294,9.3E-05,0.000201
21,3.23228,172.217.194.136,192.168.100.6,TLSv1.3,85,Application Data,,,,,,,,,,,,3.232373,3.23228,9.3E-05,0.000322,0.000229
22,3.232373,192.168.100.6,172.217.194.136,TCP,54,54055  >  443 [ACK] Seq=2950 Ack=4437 Win=66364 Len=0,,,,,,,,,,,,3.232695,3.232373,0.000322,0.002609,0.002287
23,3.232695,192.168.100.6,172.217.194.136,TLSv1.3,85,Application Data,,,,,,,,,,,,3.235304,3.232695,0.002609,0.025858,0.023249
24,3.235304,172.217.194.136,192.168.100.6,TCP,56,443  >  54055 [ACK] Seq=4437 Ack=2950 Win=72192 Len=0,,,,,,,,,,,,3.261162,3.235304,0.025858,,
25,3.261162,172.217.194.136,192.168.100.6,TCP,56,443  >  54055 [ACK] Seq=4437 Ack=2981 Win=72192 Len=0,,,,,,,,,,,,,to. Delay,0.108358,to. Jiter,0.155925
26,3.358632,172.217.194.136,192.168.100.6,TLSv1.3,743,Application Data,,,,,,,,,,,,,rat. Delay,0.001617284,rat. Jiter,0.002327239
27,3.359099,172.217.194.136,192.168.100.6,TLSv1.3,863,Application Data,,,,,,,,,,,,,,,,
28,3.359108,172.217.194.136,192.168.100.6,TLSv1.3,85,Application Data,,,,,,,,,,,,,,,,
29,3.359114,172.217.194.136,192.168.100.6,TLSv1.3,93,Application Data,,,,,,,,,,,,,,,,
30,3.359224,192.168.100.6,172.217.194.136,TCP,54,54055  >  443 [ACK] Seq=2981 Ack=6005 Win=66364 Len=0,,,,,,,,,,,,,,,,
31,3.361802,192.168.100.6,172.217.194.136,TLSv1.3,93,Application Data,,,,,,,,,,,,,,,,
32,3.384724,172.217.194.136,192.168.100.6,TCP,56,443  >  54055 [ACK] Seq=6005 Ack=3020 Win=72192 Len=0,,,,,,,,,,,,,,,,
33,7.22913,192.168.100.6,172.217.194.136,TCP,54,"54055  >  443 [FIN, ACK] Seq=3020 Ack=6005 Win=66364 Len=0",,,,,,,,,,,,,,,,
34,7.252432,172.217.194.136,192.168.100.6,TCP,54,"443  >  54055 [FIN, ACK] Seq=6005 Ack=3021 Win=72192 Len=0",,,,,,,,,,,,,,,,
35,7.252547,192.168.100.6,172.217.194.136,TCP,54,54055  >  443 [ACK] Seq=3021 Ack=6006 Win=66364 Len=0,,,,,,,,,,,,,,,,
38,8.677018,192.168.100.6,172.217.194.100,TCP,66,54056  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1,,,,,,,,,,,,,,,,
39,8.693575,172.217.194.100,192.168.100.6,TCP,66,"443  >  54056 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM=1 WS=256",,,,,,,,,,,,,,,,
40,8.693697,192.168.100.6,172.217.194.100,TCP,54,54056  >  443 [ACK] Seq=1 Ack=1 Win=66364 Len=0,,,,,,,,,,,,,,,,
41,8.694695,192.168.100.6,172.217.194.100,TLSv1.3,571,Client Hello,,,,,,,,,,,,,,,,
42,8.710647,172.217.194.100,192.168.100.6,TCP,54,443  >  54056 [ACK] Seq=1 Ack=518 Win=66816 Len=0,,,,,,,,,,,,,,,,
